x,y
3,-2
3,1
4,-2
7,-4
6,-6
7,-3
8,0
11,-1
9,2
8,1
11,1
10,4
9,1
10,-1
10,-4
9,-3
11,0
12,-2
10,-5
10,-2
12,1
14,1
12,1
12,-1
13,0
10,0
10,0
8,1
10,-2
11,-2
11,-3
8,-1
5,1
4,1
3,-2
6,1
4,-2
4,-4
4,-5
7,-8
9,-7
11,-8
14,-6
16,-7
15,-6
15,-6
18,-5
18,-4
15,-4
14,-4
15,-4
14,-4
17,-4
18,-3
15,-5
18,-7
16,-10
16,-12
13,-10
13,-12
15,-11
13,-11
11,-11
8,-8
6,-5
7,-2
5,-1
5,1
5,-1
8,0
8,-3
11,-3
11,0
12,-1
15,-4
14,-1
16,1
13,-2
13,-1
11,-3
11,-3
9,-1
11,1
13,0
15,-3
13,-4
13,-6
15,-3
16,-5
19,-2
17,-3
15,-3
15,-5
13,-6
11,-9
13,-10
13,-11
15,-10
18,-12
21,-12
23,-12
26,-11
26,-8
23,-6
25,-3
26,-3
27,-4
25,-3
28,-6
29,-8
27,-10
24,-12
24,-13
24,-16
24,-15
25,-14
22,-16
23,-19
26,-22
27,-25
24,-25
21,-25
24,-27
21,-30
18,-28
18,-31
21,-30
20,-29
19,-31
16,-29
15,-32
14,-29
11,-27
10,-29
11,-28
9,-25
12,-24
10,-24
7,-26
7,-28
10,-31
7,-34
7,-34
5,-31
2,-32
5,-30
8,-31
10,-32
11,-34
10,-32
10,-34
12,-32
11,-31
10,-33
7,-35
6,-37
7,-34
10,-34
12,-36
11,-39
8,-42
9,-40
7,-39
10,-39
13,-36
15,-34
18,-37
17,-37
14,-37
17,-36
20,-36
18,-38
16,-38
16,-37
17,-35
16,-34
19,-31
22,-30
19,-33
19,-35
20,-38
20,-36
22,-37
23,-35
26,-37
29,-37
30,-36
33,-37
32,-39
33,-42
33,-41
34,-39
37,-42
36,-44
35,-46
37,-44
37,-45
35,-43
33,-43
34,-46
36,-47
33,-46
34,-43
36,-43
36,-44
36,-41
36,-38
36,-41
36,-43
38,-42
40,-40
39,-43
37,-43
40,-40
40,-40
37,-37
40,-39
42,-41
39,-40
36,-38
33,-37
32,-39
34,-41
31,-41
31,-43
32,-44
29,-41
28,-44
31,-46
33,-45
32,-43
29,-40
31,-37
32,-35
29,-33
28,-30
26,-31
26,-30
29,-31
28,-33
30,-36
27,-34
27,-33
24,-31
26,-32
23,-32
21,-34
21,-37
21,-39
23,-39
26,-42
24,-42
23,-44
20,-45
21,-42
18,-44
15,-46
14,-48
11,-47
9,-47
7,-47
7,-45
9,-45
12,-43
13,-42
10,-43
7,-41
6,-43
8,-44
6,-41
7,-40
7,-40
5,-38
7,-40
10,-43
10,-40
13,-43
12,-44
11,-44
8,-47
11,-48
13,-47
14,-48
14,-45
12,-46
14,-43
16,-44
15,-46
18,-47
15,-45
12,-46
12,-48
11,-50
13,-49
14,-46
13,-46
13,-49
13,-52
12,-53
12,-52
11,-53
9,-56
8,-53
11,-50
10,-47
10,-49
13,-49
13,-48
10,-50
7,-50
10,-49
8,-48
5,-51
4,-53
4,-52
1,-50
-2,-47
-4,-46
-1,-46
2,-49
4,-50
2,-47
1,-50
4,-51
4,-53
2,-55
-1,-54
-1,-52
-1,-54
-4,-53
-6,-50
-9,-53
-7,-55
-7,-58
-6,-61
-5,-59
-6,-61
-3,-64
-6,-62
-9,-60
-10,-62
-11,-60
-12,-62
-12,-64
-10,-65
-13,-68
-13,-68
-14,-70
-17,-73
-17,-70
-15,-68
-15,-67
-13,-69
-14,-67
-12,-65
-15,-63
-16,-61
-19,-59
-18,-61
-20,-58
-18,-58
-20,-59
-22,-57
-20,-55
-21,-56
-20,-53
-23,-50
-23,-52
-26,-55
-26,-54
-29,-53
-27,-56
-26,-58
-26,-57
-23,-54
-24,-55
-27,-58
-30,-55
-30,-55
-31,-57
-32,-60
-30,-59
-27,-61
-25,-62
-23,-64
-21,-66
-19,-67
-17,-65
-16,-66
-17,-63
-15,-65
-16,-66
-17,-64
-19,-61
-18,-64
-16,-65
-19,-66
-19,-68
-16,-65
-19,-68
-18,-68
-18,-68
-17,-67
-18,-68
-18,-69
-19,-72
-22,-70
-25,-70
-25,-69
-25,-72
-23,-73
-22,-73
-20,-70
-19,-69
-17,-71
-18,-71
-18,-70
-21,-73
-20,-75
-19,-74
-22,-73
-20,-74
-19,-72
-16,-72
-17,-73
-17,-70
-20,-72
-20,-70
-17,-69
-16,-70
-15,-68
-12,-65
-15,-65
-16,-62
-18,-64
-21,-67
-23,-68
-20,-70
-18,-73
-20,-74
-21,-76
-19,-73
-21,-75
-18,-73
-16,-70
-13,-71
-15,-73
-12,-72
-13,-73
-15,-75
-17,-73
-19,-76
-22,-79
-25,-78
-28,-79
-29,-77
-27,-79
-24,-81
-23,-84
-25,-82
-22,-79
-24,-78
-25,-81
-27,-84
-30,-83
-29,-84
-29,-86
-31,-87
-28,-85
-31,-82
-31,-82
-30,-82
-30,-82
-33,-81
-31,-84
-29,-81
-29,-82
-30,-84
-27,-84
-24,-85
-24,-85
-26,-82
-28,-82
-25,-84
-22,-82
-20,-80
-21,-77
-24,-75
-26,-74
-23,-77
-21,-76
-20,-77
-18,-76
-20,-77
-22,-78
-20,-81
-23,-83
-23,-80
-25,-83
-23,-80
-20,-78
-18,-76
-19,-75
-19,-76
-18,-76
-21,-76
-20,-73
-20,-74
-20,-71
-20,-74
-19,-76
-16,-79
-16,-80
-14,-81
-13,-83
-13,-80
-11,-79
-8,-78
-9,-80
-6,-79
-6,-79
-5,-78
-7,-77
-7,-76
-9,-76
-7,-73
-8,-72
-11,-70
-8,-70
-9,-72
-9,-75
-11,-77
-8,-80
-10,-82
-9,-80
-11,-83
-10,-86
-8,-87
-5,-90
-2,-93
-5,-94
-5,-93
-4,-92
-7,-93
-9,-93
-11,-96
-14,-99
-11,-100
-13,-101
-11,-101
-9,-99
-12,-98
-11,-100
-10,-98
-13,-95
-12,-94
-9,-97
-6,-94
-5,-92
-3,-93
-2,-93
1,-92
0,-92
0,-89
-2,-88
-3,-86
-2,-89
0,-91
-3,-91
-2,-91
0,-93
0,-93
1,-93
4,-92
1,-91
3,-93
5,-90
7,-93
7,-91
8,-89
8,-86
6,-86
4,-89
5,-91
8,-88
